Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND33884,Carol GoPKRalez,34,29287,5/29/2021 0:00,Carl Nguyen,European,Chemical Engineer,High,Platinum,224640.7533,57090.72,3,3550.74,1091959.454,828226.5224,532945.7622,127330.8254,61733.242,454281.8665,1,3,Private Bank,Male,Carl Anderson
IND53121,Timothy Stanley,79,29278,2/15/2021 0:00,Joshua Little,American,Accountant III,High,Jade,147292.908,24297.42,1,4097.6208,105266.6496,187826.403,35438.94396,70287.23885,7805.9142,1112746.459,3,1,Private Bank,Female,Nicholas Ward
IND25680,Billy Wilson,73,99,9/25/2017 0:00,Dennis Morris,European,Registered Nurse,High,Platinum,263248.9704,47651.76,2,7069.1556,693956.2266,1420246.29,554930.6697,235234.1703,1624.1862,2518271.847,3,3,Private Bank,Female,Victor Dean
IND55454,Kathleen Riley,80,20746,11/28/2017 0:00,Benjamin Kim,European,Cost Accountant,Low,Jade,193690.9314,11655.54,2,3610.4175,50809.3875,342138.3131,255463.2738,174627.395,4469.13,626121.9,2,2,Commercial,Male,Jeremy Porter
IND96454,Bobby Jenkins,73,15809,3/5/2014 0:00,Nicholas Cunningham,European,Developer IV,Low,Gold,91243.0464,37750.72,3,6660.8452,122158.6076,2137439.338,639548.7783,1273038.673,12504.166,411062.2716,2,3,Commercial,Female,Ernest Knight
IND14292,Arthur Burns,51,30376,12/13/2005 0:00,Shawn Long,Asian,Accounting Assistant II,Low,Platinum,162807.39,70394.4,1,811.962,709300.71,1667444.168,517118.7609,274495.081,2337.768,270162.936,2,4,Private Bank,Male,Eric Shaw
IND67206,Lawrence Richardson,49,38915,1/13/2012 0:00,Anthony Simpson,European,Junior Executive,Mid,Gold,193729.9364,44815.46,2,2062.1524,66053.911,684295.0488,337704.0501,534461.094,47911.8948,992911.8584,2,3,Retail,Female,Kevin Kim
IND90177,Julia Roberts,81,5659,11/8/2006 0:00,Victor Martinez,European,Software Engineer I,Mid,Platinum,131497.0944,15962.66,1,3127.864,57219.8988,725666.6012,233012.2114,506302.2479,21798.3214,498564.8446,0,1,Institutional,Female,Victor Rogers
IND60970,Philip Fisher,27,28045,12/23/2001 0:00,Carl Nguyen,Asian,Accountant I,High,Gold,319205.9145,49416,1,9.5526,0,309361.9381,360077.0099,135307.8116,17710.5204,945483.9753,3,4,Private Bank,Male,Eugene Cunningham
IND24003,Jeffrey Taylor,56,16845,2/28/2020 0:00,Anthony Simpson,European,Automation Specialist IV,Mid,Silver,44088.512,32418.88,2,2795.52,1485747.328,396706.9184,153723.9309,55588.55694,40504.256,717420.288,1,2,Commercial,Female,Joe Carroll
IND87800,Mark Mccoy,33,20816,1/24/2008 0:00,Patrick Graham,European,Biostatistician I,High,Silver,420683.6574,24472.55,1,1011.5625,820479.9,1818216.156,683649.2748,886562.1978,14157.725,1549847.588,1,3,Retail,Male,Steve Sanchez
IND75987,Timothy Cook,79,30025,12/11/2006 0:00,Chris Armstrong,European,Nurse,Low,Jade,32062.5228,19653.48,1,1612.8189,231528.627,140280.0477,170536.5286,109748.5079,5492.4705,352732.7331,0,1,Retail,Female,Lawrence Sanchez
IND70083,Larry Green,56,12219,8/28/2016 0:00,Benjamin Kim,European,Human Resources Manager,Mid,Jade,92487.6506,23690.51,1,2199.1834,560657.2518,208470.9844,49811.65114,134675.9457,5026.4547,407139.678,2,1,Retail,Male,Peter Castillo
IND31444,Edward Gordon,55,33457,1/31/2020 0:00,Victor Martinez,European,Analyst Programmer,Mid,Gold,130572.5124,49441.92,1,3225.2286,120782.4156,370436.7651,206472.951,264528.2867,17000.1876,854418.2526,0,2,Institutional,Male,Victor Gutierrez
IND70450,Edward Evans,77,31049,7/21/2021 0:00,Gregory Simmons,Australian,Database Administrator III,High,Gold,54753.75,5311,1,1408.3375,80386.105,11363.74795,14158.1122,4470.9828,8745.7225,390608.62,1,1,Institutional,Female,Daniel Carroll
IND47520,Joseph Morrison,49,3444,3/16/2020 0:00,George Lewis,Australian,Web Designer III,Mid,Silver,180214.7886,9226.35,2,587.7144,791256.5892,1988033.002,460993.1599,783688.3718,36763.4484,1991318.099,2,2,Private Bank,Female,Carl Anderson
IND69076,Kathy Wheeler,67,3711,11/12/1996 0:00,Anthony Torres,European,Senior Editor,High,Jade,52826.778,26160.46,2,2617.6122,385480.4256,295345.6129,277114.4023,86634.71313,20544.7023,71268.3279,2,1,Private Bank,Female,Nicholas Ward
IND53190,Amy Sims,66,30998,1/2/2007 0:00,Joshua Bennett,European,Health Coach III,Low,Gold,43622.88,19416.4,1,229.9,39047.14,192729.768,87604.44,223391.322,16286.6,237137.34,0,1,Private Bank,Male,Fred Bryant
IND58356,Sharon Warren,64,3113,1/9/2018 0:00,Phillip Peters,African,Web Developer I,Mid,Silver,142841.2608,5405,1,3431.3884,508939.3632,527832.8435,450589.0127,171867.5234,12316.3344,542464.522,0,2,Private Bank,Male,Ryan Taylor
IND33691,Nicholas Gilbert,49,30551,4/7/2009 0:00,Douglas Tucker,African,Systems Administrator III,High,Silver,90437.656,12737.4,3,2830.3616,573366.172,202406.3186,101203.1593,80786.52193,9723.8664,704110.0032,2,2,Private Bank,Male,Sean Vasquez
IND20398,Melissa Miller,65,16593,9/29/2008 0:00,Jason Duncan,Australian,Biostatistician III,High,Jade,32301.4668,5597.4,1,1751.4162,310657.961,74293.46982,64447.34731,14035.20008,13795.2806,579453.8262,1,1,Private Bank,Male,Nicholas Morrison
IND54314,Kevin Gomez,32,24168,1/1/2007 0:00,Jerry Green,European,Project Manager,Mid,Jade,293419.065,16443.25,1,4496.6275,2183384.715,1490773.713,634781.0651,281227.2476,399.2025,1633759.288,2,4,Private Bank,Female,Jack Phillips
IND74305,Ronald Larson,29,25730,12/11/1999 0:00,Bobby Burton,Australian,Software Engineer III,High,Gold,55011.84,14206.2,1,3955.056,479936.376,1209655.584,474674.976,299657.7187,43547.802,698612.484,3,1,Commercial,Male,Juan Ramirez
IND37195,Christine Williams,31,10528,4/16/2015 0:00,Joshua Bennett,European,Engineer III,High,Jade,77971.4628,7820.4,1,856.2084,478157.9216,61042.6224,29222.532,25358.66388,24984.354,487689.4464,0,1,Commercial,Female,Gregory Boyd
IND52609,Angela Roberts,22,30762,7/9/2005 0:00,Nicholas Cunningham,European,Health Coach I,High,Jade,84111.5052,18940.38,1,156.672,304608.176,130415.9488,61947.57568,84900.78267,3455.216,356683.936,3,1,Retail,Male,Victor Dean
IND26283,Joshua Hughes,58,95,4/21/2006 0:00,Shawn Cook,European,Human Resources Assistant I,High,Jade,98369.2934,3050.25,1,1441.8936,213195.0653,376150.247,235795.6772,198629.7871,23821.7763,312562.6112,3,2,Institutional,Female,Jeremy Porter
IND61913,Joshua Stephens,75,10119,8/30/2012 0:00,Samuel Fowler,American,Software Test Engineer II,High,Silver,243490.7328,63872.76,1,5578.3392,1045569.034,428657.4513,214328.7256,382765.8888,32217.3936,1105110.35,1,3,Private Bank,Male,Ernest Knight
IND35876,Evelyn Ramirez,18,28105,9/27/2006 0:00,Frank Brown,American,Web Designer II,Mid,Jade,72431.3396,34975.16,1,5303.5026,1210753.08,205810.1768,127568.2914,29765.93466,25402.3528,1532523.467,0,2,Commercial,Male,Eric Shaw
IND19011,Lillian Burns,47,33271,11/7/2003 0:00,Paul Larson,European,Sales Associate,Mid,Silver,456003.99,25171.2,2,7969.455,1248952.365,1050537.346,674555.5589,237200.2744,71113.77,1347657.84,2,4,Retail,Female,Joe Carroll
IND86703,Lillian Bell,41,11172,2/16/2018 0:00,Stephen Payne,European,Biostatistician I,High,Platinum,71422.0416,32993.52,1,4253.34,315175.42,38234.0154,33404.45556,7799.739142,38428.488,813247.12,2,2,Retail,Female,Steve Sanchez
IND23640,Phillip Perez,36,18659,4/2/2018 0:00,Benjamin Kim,European,Accounting Assistant III,Low,Jade,39077.376,14707.68,2,1305.3768,1187138.909,717787.702,144670.3896,242934.9695,11997.9288,1231614.29,0,2,Retail,Female,Lawrence Sanchez
IND93407,Karen Morrison,84,18123,4/16/2010 0:00,Carl Nguyen,European,Dental Hygienist,High,Jade,274099.1211,26051.76,2,2461.9392,563101.9506,0,0,0,4870.2402,520918.4862,3,2,Institutional,Female,Peter Castillo
IND40136,John Cruz,26,27140,9/25/2019 0:00,Victor Martinez,European,Developer IV,Mid,Silver,260826.748,53468.1,3,270.6,804359.976,529324.3008,295539.4013,106261.8534,46060.056,296849.184,0,3,Institutional,Male,Victor Gutierrez
IND76215,Joseph Thomas,74,18521,1/7/1999 0:00,Jeremy Vasquez,American,Engineer IV,Low,Platinum,334331.8125,18591.75,2,1029.3,164253.285,641260.1525,500709.9821,396615.0121,46006.425,1094810.018,1,3,Private Bank,Female,Daniel Carroll
IND93216,Anthony Green,47,40585,2/11/2012 0:00,Dennis Ruiz,Asian,Software Consultant,High,Jade,61398.259,20668.94,1,550.746,360003.868,277273.3992,305000.7391,109324.9403,2850.729,118884.969,2,1,Private Bank,Male,Carl Anderson
IND54572,Terry Hanson,82,4749,4/11/2007 0:00,Phillip Peters,European,Software Test Engineer II,High,Gold,63246.3,18575.7,1,2914.182,448652.7,537205.5151,362849.3392,93209.8692,17124.282,237993.696,0,1,Private Bank,Female,Nicholas Ward
IND18649,Norma Perez,25,7639,3/24/2019 0:00,George Lewis,European,Accountant II,Mid,Platinum,158091.856,33824.44,3,1080.0296,207662.7592,177146.4369,177146.4369,70553.14987,17133.5944,235133.6936,0,2,Private Bank,Male,Victor Dean
IND51790,Ann Bradley,44,6517,9/10/2016 0:00,Dennis Morris,European,Software Engineer II,Mid,Jade,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.5555,166059.797,41209.82,506592.1,2,2,Private Bank,Male,Jeremy Porter
IND17740,Daniel Morrison,38,38743,6/18/2011 0:00,Frank Brown,Asian,Health Coach IV,High,Gold,116926.9416,18431.28,2,3828.195,1049088.915,463600.4625,200893.5338,58413.65828,7382.34,1299697.245,1,2,Private Bank,Female,Ernest Knight
IND49489,Keith Weaver,74,4567,8/9/1995 0:00,Nicholas Cunningham,American,Associate Professor,High,Gold,148224.72,27518,2,27.808,302048.916,73076.61792,28675.63488,52337.65876,17272.56,456098.916,3,1,Private Bank,Male,Eric Shaw
IND50658,Patrick Richardson,35,36151,8/24/2021 0:00,Roger Alexander,Asian,Computer Systems Analyst I,Mid,Jade,348248.5552,65026,1,3435.3572,1369215.648,450525.3702,124963.2414,169226.5369,6690.9704,2698297.83,0,3,Commercial,Female,Kevin Kim
IND14798,Beverly Griffin,74,21413,9/24/2014 0:00,Shawn Wallace,American,Health Coach I,High,Silver,19637.7777,9527.23,2,78.1448,24331.2676,150917.7667,83660.93591,40993.85859,17286.2572,100054.7196,0,1,Commercial,Male,Victor Rogers
IND60926,Virginia Greene,62,7197,12/13/1995 0:00,Phillip Peters,American,Electrical Engineer,Mid,Jade,150304.4928,7326.44,1,767.0608,523866.0856,363305.2509,199374.8328,224185.9231,33854.2248,607800.072,1,2,Retail,Male,Eugene Cunningham
IND57710,Antonio Ruiz,23,27256,11/5/2003 0:00,Ernest Rivera,European,Statistician I,Low,Jade,52109.1276,14277.05,1,209.684,205552.0472,329191.5911,116949.6442,88665.15618,6681.616,1148304.505,1,1,Institutional,Male,Joe Carroll
IND71795,John Chapman,68,21290,8/23/2007 0:00,Keith Griffin,European,Programmer Analyst III,Mid,Platinum,156091.7501,20609.04,3,382.872,707577.9,435466.0224,112495.3891,252896.8925,35301.624,837133.632,2,1,Private Bank,Male,Steve Sanchez
IND98220,Ruth Bishop,79,3957,1/24/2020 0:00,Joe Price,American,Human Resources Assistant II,High,Jade,338383.13,57267.05,1,3505.859,1565513.723,730384.0212,497152.1489,144603.7608,74778.172,884890.545,1,4,Commercial,Male,Lawrence Sanchez
IND91662,Alice Chavez,29,39668,2/21/2019 0:00,Jerry Green,European,Assistant Professor,High,Silver,198553.5916,20851.74,1,5581.3121,414518.5681,1144704.011,696263.2647,570935.8771,40208.7504,1522411.227,3,4,Retail,Female,Peter Castillo
IND18901,Heather Palmer,52,374,11/5/2002 0:00,Stephen Payne,European,Accounting Assistant III,Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.374,122860.1946,23741.90247,6920.94,136723.47,1,2,Retail,Male,Victor Gutierrez
IND49888,Louis Banks,68,31302,1/26/2003 0:00,Paul Larson,American,Administrative Assistant I,Mid,Jade,147956.7936,52216.52,1,2977.856,701005.5808,720211.8533,302231.7599,279467.9209,23058.9632,1504310.035,3,2,Retail,Female,Daniel Carroll
IND76081,Bobby Gordon,41,23190,1/2/2010 0:00,Nicholas Cunningham,Australian,Geologist IV,Mid,Gold,91071.75,33111.54,1,8062.6458,677123.9442,558283.3028,298923.3432,147703.299,7880.7564,1554534.94,0,2,Institutional,Male,Carl Anderson
IND93705,Randy Gardner,70,18488,10/28/2020 0:00,Paul Holmes,American,Help Desk Operator,Mid,Gold,96545.3676,23191.74,1,3386.4468,1104753.025,1268890.972,630243.8604,252097.5442,39556.0506,1941061.874,3,2,Institutional,Male,Nicholas Ward
IND52847,Eric Burke,32,8566,6/19/2015 0:00,Samuel Fowler,Asian,Assistant Media Planner,High,Jade,63765,11354,1,2644.75,1012372.67,1568405.322,541210.2871,478805.4275,62053.29,1665045.85,3,2,Private Bank,Female,Fred Bryant
IND24592,Martin Shaw,47,10123,9/18/2007 0:00,Carl Nguyen,American,Technical Writer,Mid,Jade,191715.4008,31923.72,1,1296.4536,402401.844,269460.7007,316098.1297,121257.3153,19337.292,673780.4424,0,2,Private Bank,Male,Ryan Taylor
IND31656,Phillip Hansen,83,633,1/28/2012 0:00,Dennis Ruiz,Asian,Human Resources Assistant I,Mid,Silver,218312.274,21480.88,2,5886.562,1757312.986,1099352.833,389770.5497,402363.1367,30773.908,735797.502,1,5,Private Bank,Male,Sean Vasquez
IND85060,Randy Wheeler,24,8325,2/15/2006 0:00,Roger Alexander,European,Software Consultant,High,Platinum,157167.4689,31498.25,1,1909.3044,597244.5318,262988.5353,128881.7987,51169.55739,42714.8045,836453.628,3,1,Private Bank,Male,Nicholas Morrison
IND89139,Matthew Brown,84,23184,7/9/2014 0:00,Joshua Ryan,European,Administrative Assistant IV,Low,Gold,101929.59,13019.3,1,1163.806,614181.302,445914.2448,137911.6221,373280.7905,12590.018,516128.949,3,1,Private Bank,Female,Jack Phillips
IND81423,Dennis Hanson,29,24727,3/1/2009 0:00,Benjamin Kim,American,Recruiter,High,Jade,40985.49,19729.5,3,646.125,358194.375,186144.375,114664.935,37333.11585,13412.625,222160.875,1,1,Private Bank,Male,Juan Ramirez
IND85541,Alan Bennett,85,9136,9/12/2018 0:00,Dennis Morris,African,Staff Scientist,High,Jade,109218.7008,6820.8,1,2767.296,587928.768,198995.4288,128873.2301,68530.23529,13413.792,566786.304,2,1,Private Bank,Male,Gregory Boyd
IND59219,Helen Jenkins,51,10186,10/30/2014 0:00,Stephen Payne,European,Web Developer III,High,Jade,174258.5152,34182.52,1,5185.7764,648432.6688,1125389.668,830895.1751,198783.7824,36318.3252,452950.7736,3,3,Commercial,Male,Victor Dean
IND43444,Katherine Myers,59,33070,11/14/2018 0:00,Shawn Cook,European,Senior Developer,High,Jade,74059.2348,14702.6,2,1361.5608,374815.9894,384271.0477,216865.8388,124336.4143,8446.3977,962931.9901,2,1,Commercial,Female,Jeremy Porter
IND85299,Scott Hughes,84,2874,7/22/2019 0:00,Shawn Cook,American,Health Coach IV,High,Silver,158874.1406,38794.28,1,2366.2786,261364.7603,127418.4813,101648.4514,46915.77114,40839.4567,334072.2245,0,2,Retail,Male,Ernest Knight
IND58136,Barbara Larson,69,18759,1/10/2020 0:00,Nicholas Simmons,American,Office Assistant II,Mid,Jade,71958.9,13998.9,1,2756.832,124510.614,199185.6184,120782.7686,81093.97462,15957.534,639874.92,1,1,Institutional,Female,Eric Shaw
IND35725,Tammy Willis,17,29867,11/2/2012 0:00,Jerry Green,European,Operator,High,Jade,189074.1909,13258.42,1,4138.7784,291504.549,247346.4325,81405.155,162184.1165,11482.6184,358381.3591,3,3,Private Bank,Female,Joe Carroll
IND15648,Aaron Williams,78,12708,1/6/2005 0:00,Chris Armstrong,Australian,Software Engineer III,High,Platinum,74408.6892,28689.62,2,494.76,24949.0976,188138.625,218375.1898,61145.05313,12141.5168,326434.3488,2,1,Commercial,Female,Steve Sanchez
IND48116,Lawrence Gibson,25,2134,6/6/2019 0:00,Jonathan Hawkins,African,Dental Hygienist,High,Jade,447928.0644,42888.81,1,3074.9334,841124.6151,611852.1671,222491.6971,457697.2055,33497.7258,347546.2452,3,5,Retail,Female,Lawrence Sanchez
IND28531,Ronald Burns,61,449,8/20/2001 0:00,Joshua Little,Australian,Web Designer I,Mid,Gold,309939.21,51303.6,2,10999.17,1198037.844,1457194.614,691706.304,145258.3238,44952.264,3619311.372,3,4,Retail,Female,Peter Castillo
IND45135,Benjamin Boyd,61,27123,2/22/2011 0:00,Shawn Cook,American,Editor,Low,Silver,151227.3612,25749.75,1,397.404,455965.0704,212193.8179,276609.7984,79800.03224,13699.1064,796820.2368,2,2,Retail,Male,Victor Gutierrez
IND72586,Craig Wagner,48,31328,11/8/2016 0:00,Raymond Alexander,Asian,Analog Circuit Design manager,High,Jade,401412.6675,48428.15,2,3172.6485,1511484.732,827446.8461,498247.5632,399309.8328,51370.224,155806.1085,3,5,Institutional,Male,Daniel Carroll
IND80929,Mary Austin,35,12694,10/20/2021 0:00,Joshua Ryan,European,VP Marketing,High,Silver,263452.2624,17416.8,1,3107.16,0,687595.1328,297957.8909,507980.0042,16429.392,980875.656,2,2,Institutional,Male,Carl Anderson
IND40714,Steven Wilson,21,40567,5/10/2004 0:00,James Castillo,European,Senior Editor,Low,Silver,404760.252,41342.34,2,4733.352,1022752.848,425498.087,212749.0435,145323.962,64179.7104,477400.9344,0,3,Private Bank,Male,Nicholas Ward
IND48405,Joe Lawrence,23,5800,12/19/2004 0:00,Dennis Morris,European,Civil Engineer,High,Gold,122608.8909,31945.22,1,226.9089,248995.7649,167320.3644,182304.2777,54616.36373,24666.3113,166961.6282,2,2,Private Bank,Female,Victor Dean
IND52634,Willie Price,24,25890,12/10/2008 0:00,Douglas Tucker,European,Media Manager I,Mid,Jade,72688.9531,5604.02,1,2577.2646,44247.1308,47024.47778,16596.87451,24784.66594,24564.966,362233.8036,1,1,Private Bank,Female,Jeremy Porter
IND18163,Kevin Perez,50,31222,5/18/2020 0:00,Frank Brown,European,Nurse,Mid,Gold,96295.6143,23986.83,1,1323.8784,311472.6264,193153.0311,136197.6502,60174.59816,21291.8472,396610.1802,2,2,Private Bank,Female,Ernest Knight
IND94008,Ruth Cook,20,32556,12/14/1996 0:00,Roger Alexander,American,Accountant III,Mid,Jade,127182.6864,10617.09,3,3142.3854,92065.3734,781027.6939,183771.2221,567065.4853,24086.6472,613018.8372,2,1,Private Bank,Female,Eric Shaw
